"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"rDummy.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rDummy",46,48,49,47,47,50,49,39,50,47
"rDummy.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rDummy",0.793136986931563,0.271527886365157,0.346125077385302,0.409430529442192,0.480430937723019,0.385221090345161,0.692073631746824,0.899122778936813,0.797216878442777,0.511163637816582
"rPier1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier1",24,27,27,24,26,25,28,18,31,31
"rPier1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier1",0.704984178403018,0.662758262244479,0.644622767960044,0.727144416733331,0.698748357367544,0.624192758512736,0.699625492801875,0.830702318084594,0.733872285580627,0.696185233182273
"rPier2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier2",21,21,20,23,20,24,21,20,18,15
"rPier2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier2",0.741491761155301,0.526375344388757,0.506103621826815,0.593047637949601,0.560585713835925,0.598334142408644,0.694702482546078,0.770823962731605,0.790103709976818,0.67397603669362
"Ship.NumberIn","OUTPUT VALUE","Number In","Entity","Ship",47,48,50,48,51,50,50,51,50,48
"Ship.NumberOut","OUTPUT VALUE","Number Out","Entity","Ship",43,48,46,47,44,49,49,36,47,44
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",43,48,46,47,44,49,49,36,47,44
"Pier 1 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 1 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"rDummy.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rDummy",0.793136986931563,0.271527886365157,0.346125077385302,0.409430529442192,0.480430937723019,0.385221090345161,0.692073631746824,0.899122778936813,0.797216878442777,0.511163637816582
"rDummy.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rDummy",1,1,1,1,1,1,1,1,1,1
"rDummy.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rDummy",0.793136986931563,0.271527886365157,0.346125077385302,0.409430529442192,0.480430937723019,0.385221090345161,0.692073631746824,0.899122778936813,0.797216878442777,0.511163637816582
"rPier1.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier1",0.704984178403018,0.662758262244479,0.644622767960044,0.727144416733331,0.698748357367544,0.624192758512736,0.699625492801875,0.830702318084594,0.733872285580627,0.696185233182273
"rPier1.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier1",1,1,1,1,1,1,1,1,1,1
"rPier1.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier1",0.704984178403018,0.662758262244479,0.644622767960044,0.727144416733331,0.698748357367544,0.624192758512736,0.699625492801875,0.830702318084594,0.733872285580627,0.696185233182273
"rPier2.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier2",0.741491761155301,0.526375344388757,0.506103621826815,0.593047637949601,0.560585713835925,0.598334142408644,0.694702482546078,0.770823962731605,0.790103709976818,0.67397603669362
"rPier2.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier2",1,1,1,1,1,1,1,1,1,1
"rPier2.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier2",0.741491761155301,0.526375344388757,0.506103621826815,0.593047637949601,0.560585713835925,0.598334142408644,0.694702482546078,0.770823962731605,0.790103709976818,0.67397603669362
"Seize Dummy Resource.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Seize Dummy Resource.Queue",1.49746310218757,0.123903988041072,0.470811146622348,0.162638829842138,0.256736243630461,0.434047144204313,0.886869312630641,6.11338335468186,1.73164250015099,0.515057780230875
"Seize Dummy Resource.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Seize Dummy Resource.Queue",281.262634845665,22.302717847393,80.3460740188187,29.8978614858739,36.9704793758455,75.0033465185053,156.378589002627,1100.91276620659,299.227824026091,93.5245020071156
"Ship.NVATime","TALLY AVERAGE","NVA Time","Entity","Ship",0,0,0,0,0,0,0,0,0,0
"Ship.OtherTime","TALLY AVERAGE","Other Time","Entity","Ship",150.70455371304,48.8750195457283,62.0058795013043,75.2655271144795,81.7442403347577,67.9246983792283,122.030942414134,205.588408801119,140.185175196005,84.4003983921032
"Ship.TotalTime","TALLY AVERAGE","Total Time","Entity","Ship",817.48931557808,380.221786587104,422.674866906942,442.85401312079,435.526225669736,455.022652458534,619.266545845462,1722.83933604827,816.365268403998,516.654204616339
"Ship.TranTime","TALLY AVERAGE","Transfer Time","Entity","Ship",95,95,95,95,95,95,95,95,95,95
"Ship.VATime","TALLY AVERAGE","VA Time","Entity","Ship",277.69511028503,214.044049193983,215.901301231288,242.690624520437,223.626856173073,215.563927019607,245.8570144287,373.276483136627,262.915634591249,243.796114006039
"Ship.WaitTime","TALLY AVERAGE","Wait Time","Entity","Ship",294.089651580009,22.302717847393,49.7676861743503,29.8978614858739,35.155129161905,76.5340270596993,156.378589002627,1048.97444411052,318.264458616743,93.4576922181965
"Ship.WIP","DSTAT AVERAGE","WIP","Entity","Ship",4.22832104547055,2.11234325881725,2.49123375888324,2.41095083738445,2.50553082592964,2.58740296209589,3.51262876471618,9.05500463665709,4.58697889266973,2.89985491014557
"Statistic 1","DSTAT AVERAGE","Time Persistent","User Specified","Statistic 1",18.5001474412925,22.0514710129978,22.1666814236955,22.0486247784348,21.9491032391274,23.3110485336704,22.4674719891743,15.2654928425163,21.8785835191606,20.7330108190497
