time,throughput,
57.2611,0,
150.059,1,
252.643,2,
359.835,3,
778.295,4,
1047.29,5,
1058.13,6,
1470.64,7,
1595.08,8,
1880.3,9,
1888.45,10,
2174.49,11,
2753.18,12,
2949.66,13,
3033.17,14,
3083.43,15,
3356.54,16,
3612.52,17,
3624.84,18,
3930.26,19,
4312.5,20,
4494.41,21,
4744.47,22,
4766.8,23,
5147.89,24,
5221.66,25,
5492.87,26,
5616.08,27,
5781.07,28,
5976.1,29,
6264.03,30,
6577.25,31,
6656.67,32,
6704.52,33,
6824.52,34,
6960.95,35,
7081.91,36,
7215.19,37,
7216.97,38,
7389.09,39,
7857.88,40,
7943.38,41,
8084.01,42,
8121.23,43,
8576.7,44,
9019.48,45,
9105.24,46,
9208.23,47,
9502.63,48,
106.153,0,
123.841,1,
504.229,2,
891.449,3,
960.665,4,
1224.75,5,
1482.4,6,
1589.06,7,
1732.12,8,
1895.62,9,
2014.8,10,
2353.92,11,
2375.6,12,
2450.81,13,
2533.84,14,
2727.24,15,
2807.67,16,
2881.98,17,
3148.42,18,
3312.59,19,
3549.01,20,
3584.48,21,
3859.75,22,
4176.14,23,
4454.26,24,
4621.9,25,
4683.69,26,
4826.39,27,
4940.54,28,
5046.23,29,
5170.61,30,
5277.63,31,
5444.22,32,
5587.37,33,
5855.76,34,
6019.71,35,
6233.1,36,
6395.44,37,
6592.48,38,
6871.8,39,
7020.08,40,
7040.96,41,
7077.04,42,
7198.01,43,
7315.18,44,
7530.32,45,
7574.11,46,
7812.16,47,
8109.36,48,
8452,49,
8508.36,50,
9038.26,51,
9215.06,52,
9254.48,53,
9448.18,54,
9589.26,55,
9768.5,56,
9785.85,57,
10061.9,58,
35.2049,0,
143.736,1,
303.492,2,
439.859,3,
519.654,4,
636.501,5,
777.477,6,
1149.96,7,
1399.17,8,
1659.93,9,
1916.5,10,
1954.87,11,
2174.98,12,
2277.32,13,
2488.47,14,
2595.85,15,
2967.53,16,
3037.45,17,
3110.49,18,
3386.69,19,
3507.8,20,
3694.42,21,
3875.98,22,
4226.04,23,
4259.43,24,
4371.3,25,
4418.3,26,
4461.76,27,
4538.92,28,
4799.55,29,
4855.12,30,
5100.32,31,
5180.73,32,
5616.67,33,
5640.01,34,
5772.94,35,
6068.96,36,
6231.6,37,
6339.61,38,
6564.69,39,
6866.28,40,
7127.8,41,
7261.63,42,
7351.55,43,
7570.54,44,
7716.98,45,
7766.87,46,
7797.52,47,
7926.86,48,
8219.89,49,
8355.11,50,
8571.16,51,
8614.3,52,
8762.21,53,
9113.1,54,
9312.88,55,
9520.09,56,
9539.18,57,
9722.87,58,
9871.38,59,
9965.11,60,
256.909,0,
296.478,1,
761.54,2,
770.758,3,
956.057,4,
1061.69,5,
1345.53,6,
1430.15,7,
1444.8,8,
1686.67,9,
1857.29,10,
1877.33,11,
2022.08,12,
2240.61,13,
2375.43,14,
2669.18,15,
2793.24,16,
2912.32,17,
3111.98,18,
3208.74,19,
3420.05,20,
3681.34,21,
3776.46,22,
3818.38,23,
4012.76,24,
4177.4,25,
4378.59,26,
4416.52,27,
4634.46,28,
4687.12,29,
5105.12,30,
5207.01,31,
5416.89,32,
5634.63,33,
5727.14,34,
6030.58,35,
6285.36,36,
6320.01,37,
6432.22,38,
6630.31,39,
6806.32,40,
6847.93,41,
7121.92,42,
7261.68,43,
7835.88,44,
7881.09,45,
7905.23,46,
8142.72,47,
8226.7,48,
8481.44,49,
8653.85,50,
8805.75,51,
9097.64,52,
9402.38,53,
9548.4,54,
9737.86,55,
9883.76,56,
166.803,0,
369.128,1,
582.228,2,
710.791,3,
766.419,4,
841.554,5,
1086.8,6,
1363.78,7,
1566.33,8,
1743.81,9,
1780.77,10,
1960.83,11,
2117.85,12,
2189.6,13,
2411.17,14,
2548.23,15,
2579.65,16,
2830.53,17,
3064.64,18,
3083.77,19,
3219.64,20,
3326.53,21,
3966.68,22,
4095.47,23,
4502.21,24,
4572.48,25,
4685.88,26,
4776.11,27,
5089.16,28,
5439.98,29,
5481,30,
5553.18,31,
5606.37,32,
5753.38,33,
6029.83,34,
6108.83,35,
6190.75,36,
6417.35,37,
6541.31,38,
6841.47,39,
7166.57,40,
7329.15,41,
7426.14,42,
7679.46,43,
7815.76,44,
7877.67,45,
8010.51,46,
8229.09,47,
8489.01,48,
8624.84,49,
8774.98,50,
8868.41,51,
9055.68,52,
9170.09,53,
9477.25,54,
9640.93,55,
9702.42,56,
9978.55,57,
122.301,0,
185.302,1,
500.347,2,
640.705,3,
848.489,4,
906.879,5,
1213.53,6,
1290.18,7,
1557.13,8,
1778.95,9,
1987.33,10,
2066.35,11,
2256.8,12,
2336.63,13,
2475.39,14,
2483.74,15,
2526.83,16,
2762.17,17,
2889.66,18,
3203.52,19,
3316.2,20,
3455.69,21,
3621.24,22,
3836.01,23,
4094.62,24,
4177,25,
4389.98,26,
4429.55,27,
4790.91,28,
5053.45,29,
5250.24,30,
5451.01,31,
5662.24,32,
5857.67,33,
6071.89,34,
6253.2,35,
6626.42,36,
6807.82,37,
7116.06,38,
7335.94,39,
7627.3,40,
7715.66,41,
7813.11,42,
7843.77,43,
7945.64,44,
8087.99,45,
8291.89,46,
8394.83,47,
8815.97,48,
8986.44,49,
9099.61,50,
9424.84,51,
9787.09,52,
9806.82,53,
9919.64,54,
140.553,0,
188.651,1,
577.368,2,
655.32,3,
823.24,4,
987.279,5,
1060.81,6,
1173.74,7,
1253.86,8,
1606.82,9,
1848.39,10,
2069.56,11,
2467.21,12,
2780.06,13,
3030.48,14,
3369.69,15,
3529.86,16,
3614.76,17,
3758.35,18,
3877.54,19,
4383.88,20,
4455.81,21,
4673.07,22,
4872.63,23,
5046.77,24,
5181.06,25,
5248.36,26,
5454.77,27,
5879.39,28,
5949.84,29,
6159.64,30,
6452.37,31,
6546.87,32,
6857.98,33,
7171.56,34,
7308.29,35,
7435.8,36,
7641.89,37,
7643.3,38,
8202.19,39,
8381.44,40,
8616.11,41,
8708.92,42,
8744.71,43,
9265.73,44,
9435.32,45,
9538.49,46,
9774.72,47,
9883.2,48,
9958.92,49,
39.3171,0,
148.615,1,
376.179,2,
790.874,3,
890.19,4,
1048.5,5,
1077.63,6,
1455.2,7,
1599.57,8,
1812.51,9,
1813.18,10,
1935.12,11,
2053.98,12,
2061.43,13,
2154.65,14,
2449.26,15,
2675.59,16,
3036.51,17,
3173.88,18,
3393.25,19,
3740.12,20,
3909.02,21,
4069.88,22,
4274.48,23,
4413.9,24,
4446.48,25,
4741.75,26,
4750.95,27,
4913.44,28,
5123.04,29,
5313.5,30,
5326.81,31,
6010.61,32,
6034.6,33,
6159.06,34,
6214.75,35,
6334.38,36,
6504.82,37,
6880.24,38,
6895.76,39,
7150.6,40,
7328.91,41,
7418.13,42,
7473.46,43,
7914,44,
8064.85,45,
8213.55,46,
8331.63,47,
8651.06,48,
8684.97,49,
8857.82,50,
9142.73,51,
9556.76,52,
9582.09,53,
9909.34,54,
10038.9,55,
196.414,0,
352.569,1,
462.39,2,
562.54,3,
602.314,4,
807.259,5,
1203.01,6,
1262.99,7,
1348.72,8,
1536.6,9,
1598.6,10,
1817.49,11,
2007.77,12,
2054.63,13,
2295.78,14,
2374.05,15,
2545.13,16,
2691.72,17,
2742.96,18,
2848.06,19,
2945.94,20,
3039.91,21,
3204.37,22,
3347.92,23,
3574.36,24,
3788.18,25,
4236.58,26,
4284.22,27,
4306.28,28,
4509.44,29,
4821.52,30,
5055.28,31,
5229.75,32,
5392.43,33,
5524.24,34,
5711.74,35,
5807.52,36,
5870.52,37,
6064.36,38,
6132.27,39,
6166.43,40,
6540.19,41,
6748.43,42,
6796.89,43,
7026.56,44,
7028.24,45,
7326.44,46,
7576.94,47,
7583.86,48,
7720.39,49,
7921.18,50,
7984.58,51,
8274.31,52,
8598.2,53,
8850.44,54,
9004.54,55,
9110.57,56,
9215.21,57,
9298.82,58,
9445.93,59,
9679.31,60,
10075.5,61,
63.4156,0,
236.312,1,
332.927,2,
455.535,3,
767.277,4,
953.123,5,
1423.89,6,
1703.73,7,
1891.97,8,
1959.67,9,
2216.75,10,
2310.14,11,
2520.87,12,
2680.26,13,
3279.04,14,
3450.87,15,
3807.21,16,
3955.69,17,
3998.29,18,
4147.8,19,
4233.05,20,
4340.89,21,
4793.78,22,
4945.35,23,
5031.28,24,
5111.94,25,
5122.23,26,
5254.04,27,
5370.86,28,
5723.74,29,
5866.54,30,
5900.93,31,
6208.36,32,
6328.33,33,
6541.6,34,
6881.86,35,
7120.49,36,
7342.77,37,
7430.11,38,
7711.37,39,
7743.84,40,
7904.44,41,
8166.75,42,
8434.59,43,
8477.31,44,
8588.28,45,
8701.1,46,
8970.53,47,
9192.12,48,
9241.02,49,
9537.07,50,
9967.36,51,
10003.1,52,
