time,delaytime,throughput,
175.14,0,0,
217.881,0,1,
328.879,0,2,
522.766,0,3,
1077.85,0,4,
1267.26,0,5,
1341.3,0,6,
1529.75,0,7,
2085.81,0,8,
2246.69,0,9,
2262.71,0,10,
2724.89,0,11,
2860.43,0,12,
3079.18,0,13,
3572.09,13.203,14,
3615.59,13.203,15,
3706.18,22.8906,16,
3810.64,26.272,17,
3906.49,26.272,18,
3946.76,26.272,19,
4078.99,25.0209,20,
4205.33,22.8452,21,
4250.96,22.8452,22,
4482.93,21.8933,23,
5083.54,21.8737,24,
5194.96,21.8737,25,
5255.3,21.8737,26,
5482.47,21.1194,27,
5828.93,20.4154,28,
5928.45,19.7569,29,
6149.09,19.1395,30,
6709.59,18.0136,31,
6741.7,18.0136,32,
6843.13,18.0136,33,
7055.45,17.0128,34,
7567.76,19.1413,35,
7623.08,19.7036,36,
7775.73,19.7036,37,
7896.17,21.2036,38,
7981.65,20.6987,39,
7986.36,20.6987,40,
8285.39,20.2173,41,
8323.37,20.2173,42,
261.334,0,0,
351.149,0,1,
821.735,0,2,
1071.56,0,3,
1340.55,0,4,
1367.8,0,5,
1735.77,0,6,
1787.84,0,7,
1912.43,0,8,
2011.33,0,9,
2271.68,0,10,
2336.71,0,11,
2798.3,0,12,
3045.63,0,13,
3091.82,1.50223,14,
3377.71,1.50223,15,
3405.69,1.50223,16,
3550.69,1.3441,17,
3648.53,1.21609,18,
3827.4,1.21609,19,
4120.04,2.63826,20,
4195.92,2.63826,21,
4401.04,2.53273,22,
4443.59,2.53273,23,
4644.95,2.43531,24,
4723.42,2.34512,25,
4850.03,2.26136,26,
5008.5,2.26136,27,
5633.59,2.18339,28,
5941.43,2.11061,29,
6196.23,1.91873,30,
6256.05,1.91873,31,
6423.83,1.8623,32,
6435.76,1.8623,33,
6908.82,1.80909,34,
7164.89,1.66627,35,
7589.36,4.3979,36,
7673.95,5.56313,37,
7735.74,6.46409,38,
7760.13,6.46409,39,
7946.33,8.534,40,
8125.09,10.9443,41,
8293.55,10.9443,42,
8472.82,10.7064,43,
8518.25,10.7064,44,
8540.36,10.7064,45,
95.7378,0,0,
296.402,0,1,
483.764,0,2,
673.524,0,3,
712.273,0,4,
816.711,0,5,
991.858,0,6,
1075.35,0,7,
1449.36,0,8,
1668.65,0,9,
1750.44,0,10,
1777.27,0,11,
1895.63,0,12,
2421.72,0,13,
2544.29,0,14,
2608.71,0,15,
2755.76,0,16,
2932.22,0,17,
3148.37,0,18,
3332.9,0,19,
3449.56,0,20,
3650.94,0,21,
3727.53,0,22,
3917.98,0,23,
4001.84,0,24,
4478.03,0,25,
4697.8,0,26,
4748.63,0.880168,27,
4881.59,0.880168,28,
4955.67,0.880168,29,
5321.02,0.851776,30,
5759.73,0.776619,31,
5931.34,0.75443,32,
5941.58,0.75443,33,
6239.05,0.733474,34,
6496.32,0.69487,35,
6561.55,0.69487,36,
6694.58,0.677052,37,
6773.82,0.660126,38,
7090.49,0.628692,39,
7142.04,0.628692,40,
7177.35,0.628692,41,
7452.19,0.600115,42,
